substancia,ean,produto,pmvg
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"26,73"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"53,43"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"80,17"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"106,89"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"25,39"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"26,73"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"53,43"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"80,17"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"106,89"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"38,65"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"77,33"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"115,99"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"154,63"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"41,12"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"112,29"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Novo,"41,11"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Novo,"41,11"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Novo,"41,11"
ACETATO DE DEGARELIX,    -     ,Novo,"597,46"
ACETATO DE DEGARELIX,    -     ,Novo,"1087,64"
ACETATO DE DESMOPRESSINA,    -     ,Genérico,"158,33*"
ACETATO DE DESMOPRESSINA,    -     ,Similar,"158,33*"
ACETATO DE DESMOPRESSINA,    -     ,Similar,"316,64"
ACETATO DE DESMOPRESSINA,    -     ,Similar,"336,73*"
ACETATO DE DESMOPRESSINA,    -     ,Novo,"177,51"
ACETATO DE DESMOPRESSINA,    -     ,Novo,"177,51"
ACETATO DE DESMOPRESSINA,    -     ,Novo,"243,57*"
ACETATO DE DESMOPRESSINA,    -     ,Novo,"263,29"
ACETATO DE DESMOPRESSINA,    -     ,Novo,"243,57*"
ACETATO DE DESMOPRESSINA,    -     ,Novo,"987,43"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"8,62"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"8,52"
ACETATO DE DEXAMETASONA,    -     ,Similar,"7,52"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"7,49"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"7,57"
ACETATO DE DEXAMETASONA,    -     ,Similar,"12,66"
ACETATO DE DEXAMETASONA,    -     ,Similar,"749,46"
ACETATO DE DEXAMETASONA,    -     ,Similar,"1498,92"
ACETATO DE DEXAMETASONA,    -     ,Similar,"4,29"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"4,29"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"8,63"
ACETATO DE DEXAMETASONA,    -     ,Similar,"221,56*"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"429,84"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"8,63"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"17,26"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"25,87"
ACETATO DE DEXAMETASONA,    -     ,Similar,"13,35"
ACETATO DE DEXAMETASONA,    -     ,Similar,"26,58"
ACETATO DE DEXAMETASONA,    -     ,Similar,"39,85"
ACETATO DE DEXAMETASONA,    -     ,Similar,"8,74"
ACETATO DE DEXAMETASONA,    -     ,Similar,"143,71"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"8,52"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"558,63"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"8,62"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"6,53"
ACETATO DE DEXAMETASONA,    -     ,Genérico,"7,97"
ACETATO DE DEXAMETASONA,    -     ,Similar,"12,99"
ACETATO DE DEXAMETASONA,    -     ,Similar,"11,03"
ACETATO DE FLUDROCORTISONA,    -     ,Novo,"260,97*"
ACETATO DE FLUORMETOLONA,    -     ,Novo,"22,58"
ACETATO DE FLUORMETOLONA,    -     ,Similar,"25,38"
ACETATO DE GANIRRELIX,    -     ,Novo,"306,81"
ACETATO DE GANIRRELIX,    -     ,Novo,"306,81"
ACETATO DE GLATIRÂMER,    -     ,Novo,"5947,61*"
ACETATO DE GLATIRÂMER,    -     ,Novo,"5097,95"
ACETATO DE GLATIRÂMER,    -     ,Similar,"5947,61*"
ACETATO DE GOSSERRELINA,    -     ,Novo,"845,22*"
ACETATO DE GOSSERRELINA,    -     ,Novo,"2164,08*"
ACETATO DE HIDROCORTISONA,    -     ,Genérico,"10,01"
ACETATO DE HIDROCORTISONA,    -     ,Genérico,"15,82"
ACETATO DE HIDROCORTISONA,    -     ,Genérico,"9,31"
ACETATO DE HIDROCORTISONA,    -     ,Similar,"14,85"
ACETATO DE HIDROCORTISONA,    -     ,Similar,"6,33"
ACETATO DE ICATIBANTO,    -     ,Novo,"6828,11"
ACETATO DE ICATIBANTO,    -     ,Genérico,"4438,27"
ACETATO DE ICATIBANTO,    -     ,Similar,"4438,27"
ACETATO DE LANREOTIDA,    -     ,Novo,"3363,53*"
ACETATO DE LANREOTIDA,    -     ,Novo,"3614,67*"
ACETATO DE LANREOTIDA,    -     ,Novo,"3614,67*"
ACETATO DE LANREOTIDA,    -     ,Novo,"3363,53*"
ACETATO DE LANREOTIDA,    -     ,Novo,"3614,67*"
ACETATO DE LANREOTIDA,    -     ,Novo,"3614,67*"
ACETATO DE LEUPRORRELINA,    -     ,Similar,"637,65*"
ACETATO DE LEUPRORRELINA,    -     ,Similar,"1649,51"
ACETATO DE LEUPRORRELINA,    -     ,Novo,"9793,90"
ACETATO DE LEUPRORRELINA,    -     ,Novo,"1848,85"
ACETATO DE LEUPRORRELINA,    -     ,Novo,"4247,32"
ACETATO DE LEUPRORRELINA,    -     ,Novo,"2167,00*"
ACETATO DE LEUPRORRELINA,    -     ,Novo,"798,82"
ACETATO DE MEDROXIPROGESTERONA,    -     ,Similar,"32,51*"
ACETATO DE MEDROXIPROGESTERONA,    -     ,Similar,"31,94*"
ACETATO DE MEDROXIPROGESTERONA,    -     ,Similar,"20,55"
ACETATO DE MEDROXIPROGESTERONA,    -     ,Similar,"20,55"
ACETATO DE MEDROXIPROGESTERONA,    -     ,Novo,"32,01*"
ACETATO DE MEDROXIPROGESTERONA,    -     ,Novo,"41,46*"
ACETATO DE MEDROXIPROGESTERONA,    -     ,Novo,"27,82"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Novo,"1374,53"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Novo,"54,97"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Novo,"82,46"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Similar,"27,49"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Genérico,"17,87"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Genérico,"893,40"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Genérico,"35,73"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Genérico,"53,60"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Similar,"22,68"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Similar,"1133,84"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Similar,"45,35"
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL,    -     ,Similar,"68,03"
ACETATO DE MEGESTROL,    -     ,Similar,"218,42"
ACETATO DE METILPREDNISOLONA,    -     ,Similar,"17,47"
ACETATO DE METILPREDNISOLONA,    -     ,Novo,"17,98"
ACETATO DE NORETISTERONA,    -     ,Novo,"67,34"
ACETATO DE OCTREOTIDA,    -     ,Novo,"243,11"
ACETATO DE OCTREOTIDA,    -     ,Novo,"414,27*"
ACETATO DE OCTREOTIDA,    -     ,Novo,"1805,05*"
ACETATO DE OCTREOTIDA,    -     ,Novo,"4567,27*"
ACETATO DE OCTREOTIDA,    -     ,Novo,"7026,10*"
ACETATO DE OCTREOTIDA,    -     ,Novo,"9485,16*"
ACETATO DE OCTREOTIDA,    -     ,Similar,"347,82*"
ACETATO DE PREDNISOLONA,    -     ,Novo,"31,83"
ACETATO DE PREDNISOLONA,    -     ,Novo,"32,96"
ACETATO DE PREDNISOLONA,    -     ,Novo,"16,48"
ACETATO DE PREDNISOLONA,    -     ,Similar,"30,52"
ACETATO DE PREDNISOLONA,    -     ,Similar,"29,93"
ACETATO DE PREDNISOLONA,    -     ,Similar,"18,19"
ACETATO DE PREDNISOLONA,    -     ,Similar,"26,84"
ACETATO DE PREDNISOLONA,    -     ,Genérico,"20,66"
ACETATO DE PREDNISOLONA,    -     ,Similar,"20,66"
ACETATO DE RACEALFATOCOFEROL,    -     ,Específico,"44,12"
ACETATO DE RACEALFATOCOFEROL,    -     ,Específico,"18,00"
ACETATO DE RACEALFATOCOFEROL,    -     ,Específico,"32,41"
ACETATO DE RACEALFATOCOFEROL,    -     ,Específico,"25,02"
ACETATO DE RACEALFATOCOFEROL,    -     ,Específico,"25,88"
ACETATO DE RACEALFATOCOFEROL,    -     ,Específico,"50,86"
ACETATO DE RACEALFATOCOFEROL,    -     ,Específico,"23,71"
ACETATO DE RACEALFATOCOFEROL,    -     ,Específico,"40,51"
ACETATO DE RACEALFATOCOFEROL,    -     ,Específico,"38,82"
ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;SELÊNIO;COBRE;ÁCIDO ASCÓRBICO;ZINCO,    -     ,Específico,"70,81"
ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,    -     ,Específico,"54,51"
ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,    -     ,Específico,"14,78"
ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL,    -     ,Específico,"369,24"
ACETATO DE RACEALFATOCOFEROL;SILYBUM MARIANUM (L.) GAERTN,    -     ,Específico,"82,93"
ACETATO DE RACEALFATOCOFEROL;ÁCIDO FÓLICO,    -     ,Específico,"49,09"
ACETATO DE RETINOL;COLECALCIFEROL,    -     ,Específico,"5,93"
ACETATO DE RETINOL;COLECALCIFEROL,    -     ,Específico,"11,90"
ACETATO DE RETINOL;COLECALCIFEROL,    -     ,Específico,"10,99"
ACETATO DE RETINOL;COLECALCIFEROL,    -     ,Específico,"2917,44"
ACETATO DE RETINOL;COLECALCIFEROL,    -     ,Específico,"6,36"
ACETATO DE RETINOL;COLECALCIFEROL,    -     ,Específico,"12,77"
ACETATO DE REZAFUNGINA,    -     ,Novo,"6344,00"
ACETATO DE SÓDIO TRIHIDRATADO,    -     ,Específico,"371,78"
ACETATO DE SÓDIO TRIHIDRATADO,    -     ,Específico,"929,46"
ACETATO DE SÓDIO TRIHIDRATADO,    -     ,Específico,"1858,92"
ACETATO DE SÓDIO TRIIDRATADO,    -     ,Específico,"561,58"
ACETATO DE SÓDIO TRIIDRATADO;CLORETO DE CÁLCIO DIIDRATADO;CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO,    -     ,Específico,"3374,43"
ACETATO DE SÓDIO TRIIDRATADO;CLORETO DE CÁLCIO DIIDRATADO;CITRATO DE SÓDIO DI-HIDRATADO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO,    -     ,Específico,"2772,87"
ACETATO DE SÓDIO TRIIDRATADO;CLORETO DE CÁLCIO DIIDRATADO;HIDROXIETILAMIDO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO,    -     ,Específico,"1145,14"
ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO,    -     ,Específico,"131,90"
ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO,    -     ,Específico,"3957,38"
ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE MAGNÉSIO,    -     ,Específico,"131,90"
ACETATO DE TERLIPRESSINA,    -     ,Novo,"333,65"
ACETATO DE TERLIPRESSINA,    -     ,Novo,"333,65"
ACETATO DE TERLIPRESSINA,    -     ,Similar,"333,63"
ACETATO DE TERLIPRESSINA,    -     ,Similar,"3336,28"
ACETATO DE TOCOFEROL;ÁCIDO FÓLICO,    -     ,Específico,"19,04"
ACETATO DE TOCOFEROL;ÁCIDO FÓLICO,    -     ,Específico,"106,81"
ACETATO DE TRIPTORRELINA,    -     ,Novo,"711,32*"
ACETATO DE TRIPTORRELINA,    -     ,Novo,"301,52"
ACETATO DE ZINCO,    -     ,Específico,"410,23"
ACETAZOLAMIDA,    -     ,Novo,"14,09"
ACETAZOLAMIDA,    -     ,Novo,"16,91*"
ACETILCISTEÍNA,    -     ,Genérico,"23,80"
ACETILCISTEÍNA,    -     ,Genérico,"26,88"
ACETILCISTEÍNA,    -     ,Genérico,"21,31"
ACETILCISTEÍNA,    -     ,Genérico,"29,04"
ACETILCISTEÍNA,    -     ,Genérico,"52,77"
ACETILCISTEÍNA,    -     ,Genérico,"28,37"
ACETILCISTEÍNA,    -     ,Genérico,"21,27"
ACETILCISTEÍNA,    -     ,Similar,"56,58"
ACETILCISTEÍNA,    -     ,Similar,"21,62"
ACETILCISTEÍNA,    -     ,Similar,"21,62"
ACETILCISTEÍNA,    -     ,Novo,"20,98"
ACETILCISTEÍNA,    -     ,Novo,"47,20"
ACETILCISTEÍNA,    -     ,Novo,"27,20"
ACETILCISTEÍNA,    -     ,Novo,"19,44"
ACETILCISTEÍNA,    -     ,Novo,"32,34"
ACETILCISTEÍNA,    -     ,Novo,"42,48"
ACETILCISTEÍNA,    -     ,Novo,"84,22"
ACETILCISTEÍNA,    -     ,Novo,"33,37"
ACETILCISTEÍNA,    -     ,Similar,"24,31"
ACETILCISTEÍNA,    -     ,Similar,"29,75"
ACETILCISTEÍNA,    -     ,Similar,"41,56"
ACETILCISTEÍNA,    -     ,Similar,"22,75"
ACETILCISTEÍNA,    -     ,Genérico,"25,56"
ACETILCISTEÍNA,    -     ,Genérico,"29,70"
ACETILCISTEÍNA,    -     ,Genérico,"46,32"
ACETILCISTEÍNA,    -     ,Genérico,"22,28"
