classe,codigo,descricao,unidade,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
Alvenaria Estrutural - Blocos de Concreto,89472,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",M2,0.2283,0.3059,0.3096,0.2475,0.364,0.2965,0.2842,0.3312,0.2864,0.279,0.3005,0.2883,0.2789,0.3,0.2446,0.3022,0.3232,0.3918,0.4143,0.2729,0.2693,0.2762,0.2727,0.3091,0.308,0.3639,0.2636
Alvenaria Estrutural - Blocos de Concreto,89455,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO PALHETA. AF_10/2022",M2,0.1796,0.2465,0.2492,0.196,0.2999,0.237,0.2265,0.2668,0.2286,0.2226,0.2407,0.2299,0.2224,0.2417,0.1923,0.2432,0.2626,0.323,0.3436,0.216,0.2143,0.2207,0.2157,0.2478,0.248,0.2958,0.2093
Alvenaria Estrutural - Blocos de Concreto,89470,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",M2,0.2577,0.3418,0.3448,0.2802,0.3998,0.3315,0.3161,0.3675,0.3201,0.3135,0.3356,0.3239,0.3142,0.3338,0.2765,0.3346,0.361,0.4331,0.4502,0.309,0.3037,0.3142,0.3089,0.3469,0.3441,0.4034,0.2954
Alvenaria Estrutural - Blocos de Concreto,89453,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO PALHETA. AF_10/2022",M2,0.2076,0.282,0.2845,0.227,0.3377,0.2716,0.2586,0.3036,0.2618,0.2562,0.2754,0.2644,0.2563,0.2757,0.2225,0.2764,0.3002,0.3653,0.3832,0.2501,0.2472,0.2563,0.2497,0.2846,0.2839,0.336,0.2405
Alvenaria de Vedação,103354,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X14X24 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",M2,0.5814,0.5795,0.6368,0.5508,0.6378,0.642,0.5999,0.6629,0.563,0.62,0.6487,0.5883,0.5684,0.6224,0.5906,0.6748,0.582,0.7174,0.6937,0.6309,0.6199,0.6453,0.6337,0.6297,0.6731,0.6973,0.5665
Alvenaria de Vedação,103355,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X14X24 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",M2,0.5891,0.5877,0.643,0.5581,0.642,0.6479,0.6067,0.6689,0.5701,0.6273,0.6548,0.5948,0.576,0.6294,0.5986,0.6822,0.5885,0.723,0.6998,0.6383,0.6277,0.6521,0.6394,0.6347,0.6793,0.7038,0.5739
Alvenaria de Vedação,103330,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X19 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",M2,0.5415,0.54,0.6004,0.5106,0.6016,0.6035,0.5596,0.6251,0.521,0.582,0.6123,0.549,0.5287,0.5864,0.552,0.6409,0.5432,0.683,0.6594,0.5909,0.5842,0.61,0.5958,0.5912,0.6377,0.6622,0.5268
Alvenaria de Vedação,103331,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X19 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",M2,0.5497,0.5488,0.6073,0.5185,0.6061,0.6101,0.5671,0.6317,0.5288,0.5901,0.619,0.556,0.5369,0.5941,0.5607,0.6491,0.5502,0.6894,0.6661,0.5992,0.5927,0.6175,0.6021,0.5966,0.6448,0.6694,0.5348
Alvenaria de Vedação,103358,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X29 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",M2,0.511,0.5073,0.5705,0.4789,0.5711,0.5733,0.5285,0.5953,0.4889,0.551,0.582,0.5174,0.4965,0.5559,0.5194,0.6116,0.5115,0.6556,0.6309,0.5599,0.5526,0.5795,0.5638,0.5595,0.6081,0.6324,0.4944
Alvenaria de Vedação,103359,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X29 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",M2,0.5197,0.5167,0.5778,0.4871,0.5758,0.5804,0.5364,0.6024,0.4971,0.5595,0.5892,0.5248,0.5051,0.5641,0.5287,0.6205,0.5188,0.6625,0.6382,0.5687,0.5617,0.5875,0.5703,0.5652,0.6156,0.6404,0.5029
Alvenaria de Vedação,103366,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X39 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",M2,0.4466,0.4415,0.5055,0.4137,0.5074,0.508,0.463,0.5301,0.4226,0.4861,0.517,0.4509,0.4303,0.4911,0.4539,0.5501,0.4456,0.5935,0.5674,0.4934,0.4881,0.5147,0.4988,0.494,0.5456,0.5689,0.4296
Alvenaria de Vedação,103367,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X39 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",M2,0.4563,0.4521,0.514,0.4229,0.5126,0.5162,0.4719,0.5386,0.4317,0.4959,0.5254,0.4593,0.4401,0.5006,0.4644,0.5605,0.4537,0.6019,0.5762,0.5037,0.4987,0.524,0.5066,0.5006,0.5544,0.5784,0.4389
Alvenaria de Vedação,103360,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X29 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,0.5158,0.5133,0.5753,0.4842,0.5766,0.5784,0.5343,0.6004,0.4944,0.5564,0.5872,0.5232,0.5015,0.5601,0.525,0.6146,0.5164,0.6603,0.6362,0.5656,0.5571,0.5826,0.5688,0.5651,0.613,0.637,0.5001
Alvenaria de Vedação,103361,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X29 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,M2,0.525,0.5235,0.583,0.4931,0.5817,0.5859,0.5426,0.608,0.5032,0.5654,0.5949,0.5312,0.5109,0.5688,0.535,0.6241,0.5243,0.6677,0.6439,0.5751,0.5668,0.5912,0.576,0.5712,0.6208,0.6453,0.509
Alvenaria de Vedação,103368,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,0.4595,0.4557,0.5189,0.4276,0.5211,0.5222,0.4774,0.5448,0.4378,0.5,0.5311,0.4662,0.4449,0.5036,0.468,0.5612,0.4599,0.6078,0.5815,0.5086,0.5008,0.5277,0.513,0.5089,0.5591,0.5832,0.4436
Alvenaria de Vedação,103369,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X19X39 CM (ESPESSURA 14 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,M2,0.4702,0.4674,0.528,0.4377,0.527,0.5311,0.4872,0.5539,0.4479,0.5107,0.5402,0.4754,0.4556,0.5138,0.4795,0.5726,0.4688,0.6169,0.5911,0.5197,0.5122,0.538,0.5215,0.5161,0.5687,0.5934,0.4539
Alvenaria de Vedação,103334,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X9X19 CM (ESPESSURA 14 CM, BLOCO DEITADO) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",M2,0.6038,0.6046,0.6589,0.5764,0.6597,0.663,0.6236,0.6837,0.5888,0.6425,0.6695,0.614,0.5933,0.6446,0.6152,0.6927,0.6063,0.7356,0.7152,0.6534,0.6419,0.6679,0.6564,0.6548,0.6933,0.719,0.5913
Alvenaria de Vedação,103335,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 14X9X19 CM (ESPESSURA 14 CM, BLOCO DEITADO) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",M2,0.6117,0.6131,0.6653,0.584,0.6641,0.6692,0.6306,0.6898,0.5963,0.6501,0.6758,0.6207,0.6012,0.6518,0.6235,0.7004,0.6129,0.7413,0.7213,0.6611,0.65,0.6749,0.6622,0.6598,0.6997,0.7254,0.599
Alvenaria de Vedação,103362,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X29 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,0.4828,0.4776,0.541,0.4495,0.544,0.5441,0.4996,0.5656,0.4593,0.523,0.5538,0.4874,0.4662,0.5267,0.49,0.5849,0.4815,0.6275,0.6036,0.5301,0.5227,0.5499,0.5341,0.5307,0.5804,0.6037,0.4658
Alvenaria de Vedação,103363,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X29 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,M2,0.4919,0.4874,0.5487,0.458,0.5489,0.5515,0.5079,0.5733,0.4678,0.532,0.5614,0.4952,0.4752,0.5352,0.4998,0.5944,0.4891,0.6349,0.6114,0.5395,0.5322,0.5583,0.5411,0.5367,0.5883,0.612,0.4745
Alvenaria de Vedação,103370,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,0.4167,0.4102,0.4736,0.383,0.4768,0.4767,0.4323,0.4983,0.3919,0.455,0.4865,0.4193,0.3981,0.4592,0.4223,0.519,0.4138,0.5625,0.5369,0.4617,0.4555,0.483,0.466,0.4621,0.5153,0.5364,0.3986
Alvenaria de Vedação,103371,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 19X19X39 CM (ESPESSURA 19 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,M2,0.4268,0.4212,0.4824,0.3924,0.4824,0.4852,0.4416,0.5071,0.4013,0.4653,0.4954,0.428,0.4081,0.4689,0.4333,0.5302,0.4222,0.5715,0.5462,0.4725,0.4665,0.4928,0.4741,0.469,0.5245,0.5465,0.4083
Alvenaria de Vedação,103332,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,0.6935,0.6933,0.7422,0.6677,0.7423,0.745,0.7098,0.7619,0.6775,0.7275,0.7524,0.7012,0.683,0.7301,0.703,0.7728,0.6946,0.8055,0.7889,0.7362,0.7281,0.7496,0.739,0.7363,0.7725,0.7911,0.6812
Alvenaria de Vedação,103333,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,M2,0.6981,0.6982,0.7457,0.6723,0.7449,0.7484,0.7138,0.7653,0.6818,0.7316,0.7559,0.7051,0.6876,0.7343,0.7077,0.7769,0.6985,0.8086,0.7921,0.7404,0.7326,0.7535,0.7424,0.7392,0.776,0.7945,0.6857
Alvenaria de Vedação,103352,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X24 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,0.6594,0.6572,0.7103,0.6309,0.7111,0.7136,0.6763,0.7318,0.6418,0.6949,0.7214,0.6651,0.6473,0.6969,0.6678,0.7434,0.661,0.7803,0.7608,0.7037,0.6949,0.718,0.7059,0.7033,0.7418,0.7622,0.6455
Alvenaria de Vedação,103353,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X14X24 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,M2,0.6647,0.6629,0.7146,0.6361,0.714,0.7177,0.6809,0.7358,0.6469,0.6999,0.7256,0.6696,0.6525,0.7017,0.6733,0.7484,0.6655,0.7839,0.7647,0.7087,0.7003,0.7225,0.7098,0.7067,0.746,0.7664,0.6508
Alvenaria de Vedação,103328,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,0.6424,0.6412,0.6957,0.6129,0.6963,0.6982,0.6595,0.717,0.6232,0.6794,0.7072,0.6494,0.6304,0.6822,0.6517,0.7302,0.6434,0.7669,0.7475,0.6878,0.6805,0.703,0.6909,0.6872,0.7284,0.7481,0.6279
Alvenaria de Vedação,103329,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,M2,0.648,0.6472,0.7002,0.6184,0.6994,0.7025,0.6645,0.7213,0.6285,0.6847,0.7115,0.6542,0.6361,0.6873,0.6576,0.7354,0.6482,0.7707,0.7517,0.6932,0.6862,0.7079,0.6949,0.6907,0.7328,0.7526,0.6335
Alvenaria de Vedação,103356,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X29 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,0.465,0.46,0.5251,0.4319,0.5263,0.5277,0.4823,0.55,0.4404,0.5046,0.5385,0.4704,0.4492,0.5101,0.4723,0.5691,0.4646,0.6133,0.5873,0.5135,0.5068,0.5321,0.5181,0.5126,0.5656,0.587,0.4472
Alvenaria de Vedação,103357,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X29 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,M2,0.4748,0.4706,0.5337,0.441,0.5317,0.5358,0.4913,0.5581,0.4495,0.5143,0.5467,0.4787,0.4589,0.5194,0.4829,0.5793,0.4728,0.6216,0.5959,0.5237,0.5172,0.5415,0.5257,0.519,0.5743,0.5962,0.4566
Alvenaria de Vedação,103364,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021,M2,0.4263,0.4212,0.4858,0.3933,0.4871,0.4878,0.4434,0.5103,0.4019,0.4656,0.4962,0.4311,0.4099,0.4698,0.4327,0.5286,0.4253,0.5747,0.5476,0.4732,0.4667,0.4924,0.4782,0.4738,0.5258,0.5479,0.4086
Alvenaria de Vedação,103365,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X19X39 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021,M2,0.4389,0.435,0.4973,0.4052,0.4958,0.4992,0.4552,0.5216,0.4137,0.4788,0.5097,0.4424,0.4226,0.4821,0.4465,0.5432,0.4362,0.5865,0.5607,0.487,0.4805,0.5051,0.4891,0.4831,0.5387,0.5611,0.4208
