codigo,descricao,Grupo,Classe
26255,FACILIDADES DO SERVICO DDG (COMUTADO OU DEDICADO),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
27731,ASSINATURA DE ENTRONCAMENTO DIGITAL BIDIRECIONAL E1,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
30177,ASSINATURA DE SERVICO DE PABX IP,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26271,CHAMADAS  LOCAIS MOVEL-MOVEL  INTRAOPERADORA SMP-LOCAL-MM-IO(VC1),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26280,CHAMADAS  LOCAIS MOVEL-MOVEL  EXTRAOPERADORA SMP-LOCAL-MM-EO(VC1),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26298,CHAMADAS LOCAIS MOVEL-FIXO SMP-LOCAL-MF (VC1),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26301,CHAMADAS  NACIONAIS MOVEL-MOVEL INTRAOPERADORA SMP-LDN-MM-IO(VC2 E VC3),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26310,CHAMADAS  NACIONAIS MOVEL-MOVEL EXTRAOPERADORA SMP-LDN-MM-EO(VC2 E VC3),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26328,CHAMADAS NACIONAIS MOVEL-FIXO SMP-LDN-MF (VC2 E VC3),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26344,ACESSO A INTERNET MOVEL (BANDA LARGA),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26352,MENSAGENS DE TEXTO (SMS),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26360,MENSAGENS MULTIMIDIA (MMS),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26379,CHIP AVULSO,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26387,"PACOTE DE SERVICOS SMP (VOZ, DADOS, SMS, ETC)","SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26395,SERVICOS DE GERENCIA DE REDES MOVEIS E DE USUARIOS DESSAS REDES,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26409,OUTROS SERVICOS MOVEIS PESSOAIS,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
27693,ADICIONAL DE CHAMADAS  -  LIGACOES RECEBIDAS FORA DA AREA DEMOBILIDADE - DENTRO DA AREA DA OPERADORA (SMP AD1-IO),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
27707,ADICIONAL DE CHAMADAS  -  LIGACOES RECEBIDAS FORA DA AREA DEMOBILIDADE - FORA DA AREA DA OPERADORA (SMP AD2-EO),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
27715,SERVICO DE DESLOCAMENTO - LIGACOES RECEBIDA FORA DA AREA  DEMOBILIDADE - DENTRO DA AREA DE NUMERACAO PRIMARIA (SMP DSL1),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
27723,SERVICO DE DESLOCAMENTO - LIGACOES RECEBIDA FORA DA AREA  DEMOBILIDADE - FORA DA AREA DE NUMERACAO PRIMARIA (SMP DSL2),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
27880,SERVIÇO DE DESLOCAMENTO - LIGAÇÕES RECEBIDAS FORA DA ÁREA DE MOBILIDADE - FORA DA ÁREA DE NUMERAÇÃO PRIMÁRIA (SMP DLS3),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
27898,SERVIÇO DE DESLOCAMENTO - LIGAÇÕES RECEBIDAS FORA DA ÁREA DE MOBILIDADE - FORA DA ÁREA DE NUMERAÇÃO PRIMÁRIA (SMP DLS4),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
27910,ACESSO À INTERNET MÓVEL - INTERNET PATROCINADA,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SMP - SERVIÇO MÓVEL PESSOAL
26158,CHAMADAS INTERNACIONAIS (LDI-STFC-FF) - ORIGEM FIXO,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP)
26336,CHAMADAS INTERNACIONAIS (LDI-SMP-MF) - ORIGEM MÓVEL,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP)
27634,CHAMADAS INTERNACIONAIS (LDI-STFC-FM) - ORIGEM FIXO,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP)
27642,CHAMADAS INTERNACIONAIS (LDI-SMP-MM) - ORIGEM MÓVEL,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP)
27650,CHAMADAS INTERNACIONAIS (LDI-STFC/SMP-FM/F) - DESTINO FIXO,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP)
27669,CHAMADAS INTERNACIONAIS (LDI-STFC/SMP-FM/M) - DESTINO MOVEL,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP)
27839,CHAMADAS INTERNACIONAIS (LDI-STFC-FFM) - ORIGEM FIXO,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP)
27847,CHAMADAS INTERNACIONAIS (LDI-SMP-MFM) - ORIGEM MÓVEL,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP)
27855,UTILIZAÇÃO DE VOZ E DADOS EM ROAMING INTERNACIONAL,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA INTERNACIONAL - LDI (STFC E SMP)
26417,CHAMADAS LOCAIS - SATELITE,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS
26425,CHAMADAS NACIONAIS (LDN) - SATELITE,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS
26433,CHAMADAS INTERNACIONAIS (LDI) - SATELITE,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS
26441,ACESSO A INTERNET - TELEFONIA SATELITE,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS
26450,ASSINATURA DO SERVICO DE TELECOMUNICACOES - SATELITE,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS
26468,SERVICOS DE GERENCIA DE REDES SATELITAIS E ADMINISTRACAO DE SEUS USUARIOS,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELECOMUNICAÇÕES SATELITAIS
25135,SERVICO REDE COMUNICACAO DADOS E IMAGEM,SERVI¿S DE COMUNICA¿O DE DADOS,SERVIÇOS DE LINKS VIA CABO
26476,TRAFEGO DE DADOS VIA CABO,SERVI¿S DE COMUNICA¿O DE DADOS,SERVIÇOS DE LINKS VIA CABO
26484,ACESSO A INTERNET VIA CABO,SERVI¿S DE COMUNICA¿O DE DADOS,SERVIÇOS DE LINKS VIA CABO
26492,INFOVIA BRASILIA,SERVI¿S DE COMUNICA¿O DE DADOS,SERVIÇOS DE LINKS VIA CABO
26506,SERVICO DE LINK VIA CABO,SERVI¿S DE COMUNICA¿O DE DADOS,SERVIÇOS DE LINKS VIA CABO
26514,TRAFEGO DE DADOS VIA RADIO,SERVI¿S DE COMUNICA¿O DE DADOS,SERVIÇOS DE LINKS VIA RÁDIO
26522,ACESSO A INTERNET VIA RADIO,SERVI¿S DE COMUNICA¿O DE DADOS,SERVIÇOS DE LINKS VIA RÁDIO
26530,ASSINATURA DO SERVICO DE LINK VIA RADIO,SERVI¿S DE COMUNICA¿O DE DADOS,SERVIÇOS DE LINKS VIA RÁDIO
26549,TRAFEGO DE DADOS VIA SATELITE,SERVI¿S DE COMUNICA¿O DE DADOS,SERVIÇOS DE LINKS VIA SATÉLITE
26557,ACESSO A INTERNET VIA SATELITE,SERVI¿S DE COMUNICA¿O DE DADOS,SERVIÇOS DE LINKS VIA SATÉLITE
26565,ASSINATURA DO SERVICO DE LINK VIA SATELITE,SERVI¿S DE COMUNICA¿O DE DADOS,SERVIÇOS DE LINKS VIA SATÉLITE
26573,OUTSOURCING DE  IMPRESSAO - PAGINAS A4 - MONOCROMATICO - DENTRO DA FRANQUIA SEM PAPEL,OUTSOURCING DE IMPRESS¿  -  MODALIDADE FRANQUIA  MAIS EXCE-DENTE DE P¿GINAS,OUTSOURCING DE IMPRESSÃO - PÁGINAS DENTRO DA FRANQUIA
26581,OUTSOURCING DE  IMPRESSAO - PAGINAS A4 - MONOCROMATICO - DENTRO DA FRANQUIA COM PAPEL,OUTSOURCING DE IMPRESS¿  -  MODALIDADE FRANQUIA  MAIS EXCE-DENTE DE P¿GINAS,OUTSOURCING DE IMPRESSÃO - PÁGINAS DENTRO DA FRANQUIA
26590,OUTSOURCING DE  IMPRESSAO - PAGINAS A3 - MONOCROMATICO - DENTRO DA FRANQUIA SEM PAPEL,OUTSOURCING DE IMPRESS¿  -  MODALIDADE FRANQUIA  MAIS EXCE-DENTE DE P¿GINAS,OUTSOURCING DE IMPRESSÃO - PÁGINAS DENTRO DA FRANQUIA
26603,OUTSOURCING DE IMPRESSAO  - PAGINAS A3 - MONOCROMATICO - DENTRO DA FRANQUIA COM PAPEL,OUTSOURCING DE IMPRESS¿  -  MODALIDADE FRANQUIA  MAIS EXCE-DENTE DE P¿GINAS,OUTSOURCING DE IMPRESSÃO - PÁGINAS DENTRO DA FRANQUIA
26611,OUTSOURCING DE  IMPRESSAO - PAGINAS A4 - POLICROMATICO - DENTRO DA FRANQUIA SEM PAPEL,OUTSOURCING DE IMPRESS¿  -  MODALIDADE FRANQUIA  MAIS EXCE-DENTE DE P¿GINAS,OUTSOURCING DE IMPRESSÃO - PÁGINAS DENTRO DA FRANQUIA
26620,OUTSOURCING DE  IMPRESSAO - PAGINAS A4 - POLICROMATICO - DENTRO DA FRANQUIA COM PAPEL,OUTSOURCING DE IMPRESS¿  -  MODALIDADE FRANQUIA  MAIS EXCE-DENTE DE P¿GINAS,OUTSOURCING DE IMPRESSÃO - PÁGINAS DENTRO DA FRANQUIA
26638,OUTSOURCING DE  IMPRESSAO - PAGINAS A3 - POLICROMATICO - DENTRO DA FRANQUIA SEM PAPEL,OUTSOURCING DE IMPRESS¿  -  MODALIDADE FRANQUIA  MAIS EXCE-DENTE DE P¿GINAS,OUTSOURCING DE IMPRESSÃO - PÁGINAS DENTRO DA FRANQUIA
26646,OUTSOURCING DE  IMPRESSAO - PAGINAS A3 - POLICROMATICO - DENTRO DA FRANQUIA COM PAPEL,OUTSOURCING DE IMPRESS¿  -  MODALIDADE FRANQUIA  MAIS EXCE-DENTE DE P¿GINAS,OUTSOURCING DE IMPRESSÃO - PÁGINAS DENTRO DA FRANQUIA
